matchup_key
tiafoe@brooksby OVER 22.5
tiafoe@brooksby UNDER 22.5
tien@walton OVER 21.5
tien@walton UNDER 21.5
tomljanovic@wang OVER 21.5
tomljanovic@wang UNDER 21.5
townsend@kostyuk OVER 21.5
townsend@kostyuk UNDER 21.5
ucf@west virginia OVER 139.5
ucf@west virginia UNDER 139.5
uic@murray state OVER 150.5
uic@murray state UNDER 150.5
unlv@san diego state OVER 153.0
unlv@san diego state UNDER 153.0
valparaiso@bradley UNDER 136.0
vcu@dayton UNDER 146.5
vekic@pegula OVER 19.5
vekic@pegula UNDER 19.5
vmi@unc greensboro OVER 154.5
vmi@unc greensboro UNDER 154.5
west georgia@queens university OVER 165.5
west georgia@queens university UNDER 165.5
western michigan@kent state UNDER 159.0
zakharova@raducanu OVER 20.5
zakharova@raducanu UNDER 20.5
zheng@ruzic OVER 20.5
zheng@ruzic UNDER 20.5
zverev@berrettini OVER 22.5
zverev@berrettini UNDER 22.5
