timestamp,order_id,market_ticker,side,count,price,edge,p_true,book_odds,market_type,total_line,team,event_ticker
2026-02-06T18:16:19.318328,496ea8d4-cabe-46fb-8018-657dee7cb2c7,KXNCAAMBGAME-26FEB07GTSTAN-GT,NO,2,0.75,0.022329,0.772329,-420.0,MONEYLINE,,georgia tech,KXNCAAMBGAME-26FEB07GTSTAN
2026-02-06T18:17:38.982700,69d51d58-9c1c-4ffa-9ac3-9c5c3321d018,KXNCAAMBGAME-26FEB07DREXELON-ELON,YES,1,0.66,0.023258,0.683258,-250.0,MONEYLINE,,elon,KXNCAAMBGAME-26FEB07DREXELON
2026-02-06T18:18:19.462857,bbb0c82e-1e0d-4434-8387-32546b17ce0d,KXNCAAMBGAME-26FEB07BGSUARST-ARST,NO,6,0.38,0.086653,0.466653,105.0,MONEYLINE,,arkansas state,KXNCAAMBGAME-26FEB07BGSUARST
2026-02-06T18:18:19.615755,551790da-1afd-4103-ad9a-64a6d03e37e0,KXNCAAMBGAME-26FEB07BGSUARST-ARST,YES,4,0.48,0.053347,0.533347,-126.0,MONEYLINE,,arkansas state,KXNCAAMBGAME-26FEB07BGSUARST
2026-02-06T18:18:19.773422,4a62b921-3383-40c8-b647-4a10d8f278bf,KXNCAAMBGAME-26FEB07BSUUNM-UNM,NO,2,0.26,0.02169,0.28169,240.0,MONEYLINE,,new mexico,KXNCAAMBGAME-26FEB07BSUUNM
2026-02-06T18:18:59.742031,6bf47c3a-43a4-4ed4-8c72-8c8e6a40ddfb,KXNCAAMBGAME-26FEB07GTSTAN-GT,NO,2,0.75,0.022329,0.772329,-420.0,MONEYLINE,,georgia tech,KXNCAAMBGAME-26FEB07GTSTAN
2026-02-06T18:19:39.589719,84697324-0c55-4e46-8f6b-51bab4d9753c,KXNCAAMBGAME-26FEB07EMUAPP-APP,YES,1,0.71,0.020077,0.730077,-320.0,MONEYLINE,,appalachian state,KXNCAAMBGAME-26FEB07EMUAPP
2026-02-06T18:26:18.339362,eb38376e-597e-4193-9c44-1483a9c41257,KXNCAAMBGAME-26FEB07GTSTAN-GT,NO,2,0.75,0.022329,0.772329,-420.0,MONEYLINE,,georgia tech,KXNCAAMBGAME-26FEB07GTSTAN
2026-02-06T18:28:58.118511,8c630c73-90f2-4eee-954e-e2d8088daee9,KXNCAAMBTOTAL-26FEB07DUKEUNC-153,YES,4,0.43,0.06561,0.49561,-107.0,TOTAL,152.5,duke at north carolina total 152.5 OVER,KXNCAAMBTOTAL-26FEB07DUKEUNC
2026-02-06T18:28:58.273894,feb267bb-8c4a-477c-9382-770209a680c1,KXNCAAMBGAME-26FEB07UTAHKU-KU,NO,2,0.03,0.02672,0.05672,1600.0,MONEYLINE,,kansas,KXNCAAMBGAME-26FEB07UTAHKU
2026-02-06T18:29:38.452776,d7b87f41-c642-4f31-83ec-9d5a95f27034,KXNCAAMBGAME-26FEB07CLEMCAL-CAL,NO,2,0.57,0.03177,0.60177,-170.0,MONEYLINE,,california,KXNCAAMBGAME-26FEB07CLEMCAL
2026-02-06T18:29:38.606190,9ddc1399-6968-4b15-8340-46e85fc0725e,KXNCAAMBGAME-26FEB07BGSUARST-ARST,YES,1,0.54,0.017522,0.557522,-140.0,MONEYLINE,,arkansas state,KXNCAAMBGAME-26FEB07BGSUARST
2026-02-06T18:30:18.482217,2b30e839-a007-481a-a591-5afa3037ac24,KXNCAAMBGAME-26FEB07UCIUCSB-UCSB,NO,1,0.46,0.018261,0.478261,100.0,MONEYLINE,,uc santa barbara,KXNCAAMBGAME-26FEB07UCIUCSB
2026-02-06T18:30:58.399619,b5fcda8d-b006-459e-86a2-7972b1f3a68f,KXNCAAMBGAME-26FEB07DREXELON-ELON,NO,2,0.29,0.026742,0.316742,202.0,MONEYLINE,,elon,KXNCAAMBGAME-26FEB07DREXELON
2026-02-06T18:32:18.180904,a5000ea3-8195-4688-853a-0c8b3575208c,KXNCAAMBGAME-26FEB07SFSMC-SF,YES,5,0.08,0.042699,0.122699,680.0,MONEYLINE,,san francisco,KXNCAAMBGAME-26FEB07SFSMC
2026-02-06T18:32:18.335562,39e58dc7-54ac-40a9-b192-ea1c40e577f5,KXNCAAMBGAME-26FEB07CLEMCAL-CAL,NO,2,0.57,0.03177,0.60177,-170.0,MONEYLINE,,california,KXNCAAMBGAME-26FEB07CLEMCAL
2026-02-06T18:32:18.491673,26c95101-8d09-4883-a75d-6f4c230631ee,KXNCAAMBGAME-26FEB07SFSMC-SF,NO,3,0.85,0.027301,0.877301,-1100.0,MONEYLINE,,san francisco,KXNCAAMBGAME-26FEB07SFSMC
2026-02-06T18:34:58.275113,08ed220d-1511-4f5b-9310-ff34792ff650,KXNCAAMBGAME-26FEB07SFSMC-SF,NO,3,0.85,0.027301,0.877301,-1100.0,MONEYLINE,,san francisco,KXNCAAMBGAME-26FEB07SFSMC
2026-02-06T18:34:58.426557,e9d9b64a-f1ad-447e-a845-b2ec5f9f2d63,KXNCAAMBGAME-26FEB07CLEMCAL-CAL,NO,1,0.58,0.02177,0.60177,-170.0,MONEYLINE,,california,KXNCAAMBGAME-26FEB07CLEMCAL
2026-02-06T18:37:37.627149,4871edb8-ec5d-456b-a78c-4235c7fb406e,KXNCAAMBGAME-26FEB07FRESNEV-FRES,YES,4,0.14,0.030843,0.170843,460.0,MONEYLINE,,fresno state,KXNCAAMBGAME-26FEB07FRESNEV
2026-02-06T18:37:37.779860,cc1be9ad-cb53-45f5-b398-e0ed0ec003f1,KXNCAAMBGAME-26FEB07SFSMC-SF,NO,3,0.85,0.027301,0.877301,-1100.0,MONEYLINE,,san francisco,KXNCAAMBGAME-26FEB07SFSMC
2026-02-06T18:37:37.931992,b3b615e6-7c99-4db9-8123-96e8ae7518a7,KXNCAAMBGAME-26FEB07CLEMCAL-CAL,NO,1,0.58,0.02177,0.60177,-170.0,MONEYLINE,,california,KXNCAAMBGAME-26FEB07CLEMCAL
2026-02-06T18:37:38.084324,894b9738-7529-4a32-a70b-360f49d972d4,KXNCAAMBGAME-26FEB07FRESNEV-FRES,NO,2,0.81,0.019157,0.829157,-650.0,MONEYLINE,,fresno state,KXNCAAMBGAME-26FEB07FRESNEV
2026-02-06T18:38:17.914482,fa4c6859-1fef-4a72-88a9-c4157622a703,KXNCAAMBTOTAL-26FEB06EVANVALP-136,YES,3,0.47,0.040834,0.510834,-115.0,TOTAL,135.5,evansville at valparaiso total 135.5 OVER,KXNCAAMBTOTAL-26FEB06EVANVALP
2026-02-06T18:38:18.065336,39a61f06-d2cf-4032-b2b6-4f9fb12acf25,KXNCAAMBGAME-26FEB07IWMCNS-IW,YES,2,0.05,0.029755,0.079755,1100.0,MONEYLINE,,incarnate word,KXNCAAMBGAME-26FEB07IWMCNS
2026-02-06T18:38:44.429440,02a0d4f2-f765-419f-8271-6eb64bc6fc6e,KXNCAAMBGAME-26FEB07KENTUSM-KENT,NO,5,0.26,0.0609,0.3209,198.0,MONEYLINE,,kent state,KXNCAAMBGAME-26FEB07KENTUSM
2026-02-06T18:38:44.575397,eb6855cb-ef41-4ed9-a44c-96ba59f503b0,KXNCAAMBGAME-26FEB07SDAKSDST-SDAK,NO,4,0.78,0.042677,0.822677,-610.0,MONEYLINE,,south dakota,KXNCAAMBGAME-26FEB07SDAKSDST
